id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
13,Your Name.,"Animation, Romance, Drama",ja,8.5,1,46,2016-08-26,11341,Makoto Shinkai,"Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita, Aoi Yuki, Nobunaga Shimazaki",,358000000.0
24,Impossible Things,"Family, Drama",es,8.4,1,28,2021-06-17,387,Ernesto Contreras,"Nora Velázquez, Benny Emmanuel, Luisa Huertas, Salvador Garcini, Andrés Delgado",,
30,Gabriel's Inferno,"Romance, Drama",en,8.4,2,2,2020-05-29,2410,Tosca Musk,"Melanie Zanetti, Giulio Berruti, Kurt McKinney, Agnes Albright, Margaux Brooke",,
31,A Dog's Will,"Comedy, Drama, Fantasy",pt,8.4,1,44,2000-09-15,1093,Guel Arraes,"Matheus Nachtergaele, Selton Mello, Rogério Cardoso, Denise Fraga, Diogo Vilela",,4903192.0
32,Harakiri,"Action, Drama, History",ja,8.4,2,15,1962-09-15,990,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsuro Tamba, Masao Mishima",,
33,Primal: Tales of Savagery,"Action, Adventure, Animation, Drama",en,8.4,1,25,2019-11-21,315,Genndy Tartakovsky,"Aaron LaPlante, Jon Olson, Bryan Andrews, Darrick Bachman",,
37,Hope,Drama,ko,8.4,2,2,2013-10-02,729,Lee Joon-ik,"Sul Kyung-gu, Uhm Ji-won, Lee Re, Kim Sang-ho, Kim Hae-sook",,
39,Gabriel's Inferno: Part II,"Romance, Drama",en,8.4,1,45,2020-07-31,1513,Tosca Musk,"Melanie Zanetti, Giulio Berruti, James Andrew Fraser, Margaux Brooke, Agnes Albright",,
40,Dou kyu sei – Classmates,"Romance, Animation",ja,8.4,1,1,2016-02-20,382,Shoko Nakamura,"Kenji Nojima, Hiroshi Kamiya, Hideo Ishikawa, Yurino",,
41,Gabriel's Inferno: Part III,"Romance, Drama",en,8.4,1,45,2020-11-19,1053,Tosca Musk,"Melanie Zanetti, Giulio Berruti, Rhett Wellington Ramirez, James Andrew Fraser, Margaux Brooke",,
42,A Silent Voice: The Movie,"Animation, Drama",ja,8.4,2,9,2016-09-17,3938,Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yuki, Kensho Ono, Yuki Kaneko",,30504476.0
48,The Legend of Hei,"Animation, Fantasy, Action",zh,8.4,1,42,2019-08-27,364,MTJJ,"Shan Xin, Liu Mingyue, Hao Xianghai, Ding Dang, Yuntu Cao",,48045728.0
53,Taylor Swift: Reputation Stadium Tour,Music,en,8.3,2,5,2018-12-31,382,Paul Dugdale,"Taylor Swift, Charli xcx, Camila Cabello, David Cook, Amos Heller",,
56,High and Low,"Drama, Crime, Mystery",ja,8.3,2,22,1963-03-01,900,Akira Kurosawa,"Toshirō Mifune, Tatsuya Nakadai, Kyōko Kagawa, Tatsuya Mihashi, Isao Kimura",250000.0,
57,The Quintessential Quintuplets Movie,"Animation, Comedy, Romance",ja,8.3,2,16,2022-05-20,382,Masato Jimbo,"Yoshitsugu Matsuoka, Kana Hanazawa, Ayana Taketatsu, Miku Ito, Ayane Sakura",,17288993.0
58,A Brighter Summer Day,"Crime, Drama, Romance",zh,8.3,3,57,1991-07-27,314,Edward Yang,"Chang Chen, Lisa Yang, Kuo-Chu Chang, Elaine Jin, Chuan Wang",,
60,Once Upon a Studio,"Animation, Family, Fantasy, Comedy",en,8.3,0,9,2023-09-24,352,Trent Correy,"Chris Diamantopoulos, Kaitlyn Robrock, Tony Anselmo, Bill Farmer, Jim Cummings",,
62,Hotarubi no Mori e,"Romance, Animation, Fantasy",ja,8.3,0,45,2011-09-17,1101,Takahiro Omori,"Izumi Sawada, Hayato Taya, Ayane Sakura, Koki Uchiyama, Shinpachi Tsuji",,
66,Dedicated to my ex,"Drama, Comedy",es,8.3,1,34,2019-11-01,501,Jorge Ulloa,"Raúl Santana, Nataly Valencia, Carlos Alcántara, Biassini Segura, Mariana Treviño",,1315376.0
69,Neon Genesis Evangelion: The End of Evangelion,"Animation, Science Fiction, Action, Drama",ja,8.3,1,27,1997-07-19,1590,Kazuya Tsurumaki,"Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi, Yuko Miyamura, Fumihiko Tachiki",,20563523.0
70,Ikiru,Drama,ja,8.3,2,23,1952-10-09,1126,Akira Kurosawa,"Takashi Shimura, Haruo Tanaka, Nobuo Kaneko, Bokuzen Hidari, Miki Odagiri",,55240.0
77,Violet Evergarden: The Movie,"Animation, Fantasy, Romance, Drama",ja,8.3,2,20,2020-09-18,404,Taichi Ishidate,"Yui Ishikawa, Daisuke Namikawa, Takehito Koyasu, Hidenobu Kiuchi, Haruka Tomatsu",,20339624.0
79,"The Boy, the Mole, the Fox and the Horse","Animation, Family, Adventure, Fantasy",en,8.3,0,35,2022-12-25,565,Charlie Mackesy,"Jude Coward Nicoll, Tom Hollander, Idris Elba, Gabriel Byrne",,
80,"Josee, the Tiger and the Fish","Animation, Drama, Romance",ja,8.3,1,38,2020-12-25,462,Kotaro Tamura,"Taishi Nakagawa, Kaya Kiyohara, Yume Miyamoto, Kazuyuki Okitsu, Lynn",,
82,Given,"Animation, Drama, Music, Romance",ja,8.3,1,0,2020-08-22,377,Hikaru Yamaguchi,"Takuya Eguchi, Masatomo Nakazawa, Shogo Yano, Yuma Uchida, Shintaro Asanuma",,
84,Le Trou,"Drama, Thriller, Crime",fr,8.3,2,12,1960-03-18,469,Jacques Becker,"Michel Constantin, Jean Keraudy, Philippe Leroy, Raymond Meunier, Marc Michel",,33187.0
85,We All Loved Each Other So Much,"Drama, Comedy",it,8.3,2,4,1974-12-21,548,Ettore Scola,"Nino Manfredi, Vittorio Gassman, Stefania Sandrelli, Stefano Satta Flores, Giovanna Ralli",,
86,Clouds,"Music, Drama, Romance",en,8.3,2,1,2020-10-09,1002,Justin Baldoni,"Fin Argus, Sabrina Carpenter, Madison Iseman, Neve Campbell, Tom Everett Scott",,
89,Life in a Year,"Drama, Romance",en,8.3,1,47,2020-11-27,1872,Mitja Okorn,"Jaden Smith, Cara Delevingne, Cuba Gooding Jr., Chris D'Elia, JT Neal",,
91,Come and See,"Drama, War",ru,8.3,2,22,1985-10-17,1475,Elem Klimov,"Aleksei Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas, Jüri Lumiste",,20929648.0
95,Klaus,"Animation, Family, Adventure, Comedy, Fantasy",en,8.2,1,36,2019-11-08,3979,Sergio Pablos,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Joan Cusack, Norm Macdonald",,
98,Rascal Does Not Dream of a Dreaming Girl,"Animation, Romance, Drama, Fantasy",ja,8.2,1,30,2019-06-15,520,Soichi Masui,"Kaito Ishikawa, Asami Seto, Yurika Kubo, Nao Toyama, Atsumi Tanezaki",,
99,Wolf Children,"Animation, Family, Drama, Fantasy",ja,8.2,1,57,2012-07-21,2275,Mamoru Hosoda,"Haru Kuroki, Yukito Nishii, Aoi Miyazaki, Takao Osawa, Momoka Ohno",,55060661.0
101,I Want to Eat Your Pancreas,"Animation, Drama, Romance",ja,8.2,1,48,2018-09-01,1539,Shinichiro Ushijima,"Mahiro Takasugi, Lynn, Yukiyo Fujii, Yuma Uchida, Jun Fukushima",,33748006.0
102,Il Sorpasso,"Drama, Comedy",it,8.2,1,45,1962-12-05,739,Dino Risi,"Vittorio Gassman, Jean-Louis Trintignant, Catherine Spaak, Claudio Gora, Luciana Angiolillo",,
104,Justice League Dark: Apokolips War,"Animation, Action, Science Fiction",en,8.2,1,30,2020-05-05,1450,Matt Peters,"Matt Ryan, Jerry O'Connell, Taissa Farmiga, Jason O'Mara, Rosario Dawson",,
115,Woman in the Dunes,"Drama, Thriller",ja,8.2,2,27,1964-02-15,439,Hiroshi Teshigahara,"Eiji Okada, Kyôko Kishida, Hiroko Itō, Kōji Mitsui",,
120,Out of the Clear Blue Sky,"Comedy, Drama, Music",es,8.2,1,52,2019-12-24,343,Pepe Bojórquez,"Omar Chaparro, Ana Claudia Talancón, Stephanie Cayo, Lupita Sandoval, Yare Santana",,
122,Maquia: When the Promised Flower Blooms,"Animation, Fantasy, Drama, Adventure",ja,8.2,1,55,2018-02-24,625,Mari Okada,"Manaka Iwami, Miyu Irino, Yuuki Sakurai, Ai Kayano, Yuki Kaji",,4345395.0
126,Violet Evergarden: Eternity and the Auto Memory Doll,"Drama, Fantasy, Animation",ja,8.2,1,31,2019-09-06,363,Taichi Ishidate,"Yui Ishikawa, Minako Kotobuki, Aoi Yuki, Koki Uchiyama, Takehito Koyasu",,10841702.0
127,Doctor Who: The Day of the Doctor,"Science Fiction, Adventure",en,8.2,1,17,2013-11-23,744,Nick Hurran,"Matt Smith, David Tennant, John Hurt, Jenna Coleman, Billie Piper",,10000000.0
129,The Seventh Seal,"Fantasy, Drama",sv,8.2,1,36,1957-02-16,2965,Ingmar Bergman,"Max von Sydow, Bengt Ekerot, Gunnar Björnstrand, Nils Poppe, Bibi Andersson",,
130,Michael Jackson's Thriller,"Horror, Music, Mystery",en,8.2,0,14,1983-11-14,675,John Landis,"Michael Jackson, Ola Ray, Vincent Price, Cynthia Garris, Tiana Davidson 'Thelma' Davis",1100000.0,
132,Hamilton,"History, Drama",en,8.2,2,40,2020-07-03,1402,Thomas Kail,"Lin-Manuel Miranda, Leslie Odom Jr., Renée Elise Goldsberry, Phillipa Soo, Daveed Diggs",,
135,Investigation of a Citizen Above Suspicion,"Drama, Thriller",it,8.2,1,51,1970-10-16,767,Elio Petri,"Gian Maria Volonté, Florinda Bolkan, Gianni Santuccio, Orazio Orlando, Sergio Tramonti",,
136,Tokyo Story,Drama,ja,8.2,2,17,1953-11-03,1049,Yasujirō Ozu,"Chishū Ryū, Chieko Higashiyama, Setsuko Hara, Haruko Sugimura, Sō Yamamura",,
137,Persona,Drama,sv,8.2,1,23,1966-10-18,2129,Ingmar Bergman,"Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand, Jörgen Lindström",,
140,Jujutsu Kaisen 0,"Animation, Action, Fantasy",ja,8.2,1,45,2021-12-24,1390,Sunghoo Park,"Megumi Ogata, Kana Hanazawa, Yuichi Nakamura, Takahiro Sakurai, Mikako Komatsu",,195870885.0
141,Steven Universe: The Movie,"TV Movie, Animation, Adventure, Comedy, Fantasy, Music",en,8.2,1,22,2019-10-07,773,Rebecca Sugar,"Zach Callison, Deedee Magno, Estelle, Michaela Dietz, Sarah Stiles",,
142,My Hero Academia: Heroes Rising,"Animation, Action, Fantasy, Adventure",ja,8.2,1,44,2019-12-20,1160,Kenji Nagasaki,"Daiki Yamashita, Nobuhiko Okamoto, Yoshio Inoue, Mio Imada, Yuka Terasaki",,30017163.0
146,Green Snake,"Animation, Fantasy, Action, Adventure",zh,8.2,2,11,2021-07-23,301,Amp Wong,"Tang Xiaoxi, Zhang Fuzheng, Wei Chao, Zhao Mingzhou, Zheng Xiaopu",,87212911.0
151,8½,Drama,it,8.2,2,19,1963-02-14,2260,Federico Fellini,"Marcello Mastroianni, Anouk Aimée, Sandra Milo, Claudia Cardinale, Rossella Falk",,
153,Stalker,"Science Fiction, Drama",ru,8.2,2,42,1979-05-25,2147,Andrei Tarkovsky,"Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko, Alisa Freyndlikh, Natalya Abramova",120000.0,
154,The Shop Around the Corner,"Comedy, Drama, Romance",en,8.2,1,39,1940-01-12,713,Ernst Lubitsch,"James Stewart, Margaret Sullavan, Frank Morgan, Joseph Schildkraut, Sara Haden",,
158,Togo,"Adventure, Family",en,8.2,1,53,2019-12-20,1995,Ericson Core,"Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Richard Dormer, Adrien Dorval",,
160,20th Century Girl,"Romance, Drama",ko,8.1,1,59,2022-10-06,684,Bang Woo-ri,"Kim You-jung, Byeon Woo-seok, Park Jung-woo, Roh Yoon-seo, Kim Sung-kyung",,
161,Zack Snyder's Justice League,"Action, Adventure, Fantasy",en,8.1,4,2,2021-03-18,9945,Zack Snyder,"Ben Affleck, Henry Cavill, Gal Gadot, Ray Fisher, Jason Momoa",70000000.0,
162,Piper,"Family, Animation",en,8.1,0,6,2016-06-16,1611,Alan Barillaro,,,
164,Innocent Voices,"Drama, War",es,8.1,2,0,2005-01-28,480,Luis Mandoki,"Carlos Padilla, Xuna Primus, Leonor Varela, José María Yázpik, Gustavo Muñoz",,837000.0
166,Scenes from a Marriage,"Drama, Romance",sv,8.1,2,49,1974-09-15,345,Ingmar Bergman,"Liv Ullmann, Erland Josephson, Bibi Andersson, Jan Malmsjö, Gunnel Lindblom",150000.0,
168,Wild Strawberries,Drama,sv,8.1,1,31,1957-08-28,1614,Ingmar Bergman,"Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand, Jullan Kindahl",,
169,Palmer,Drama,en,8.1,1,50,2021-01-28,1593,Fisher Stevens,"Justin Timberlake, Ryder Allen, Juno Temple, Alisha Wainwright, June Squibb",,
171,My Friends,Comedy,it,8.1,2,20,1975-10-24,691,Mario Monicelli,"Ugo Tognazzi, Gastone Moschin, Philippe Noiret, Duilio Del Prete, Adolfo Celi",,
179,Better Days,"Drama, Romance, Thriller, Crime",zh,8.1,2,15,2019-10-25,439,Derek Tsang,"Zhou Dongyu, Jackson Yee, Yin Fang, Huang Jue, Wu Yue",,225879065.0
181,The Great War,"Comedy, War, Drama",it,8.1,2,17,1959-10-28,340,Mario Monicelli,"Vittorio Gassman, Alberto Sordi, Silvana Mangano, Folco Lulli, Bernard Blier",,
184,Purple Hearts,"Romance, Drama",en,8.1,2,2,2022-07-29,2515,Elizabeth Allen Rosenbaum,"Sofia Carson, Nicholas Galitzine, John Harlan Kim, Chosen Jacobs, Anthony Ippolito",,
187,"“The Shorts” by Aldo, Giovanni and Giacomo",Comedy,it,8.1,2,0,1996-03-29,345,Arturo Brachetti,"Aldo Baglio, Giacomo Poretti, Giovanni Storti, Marina Massironi",,
