id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
13,Your Name.,"Animation, Romance, Drama",ja,8.5,1,46,2016-08-26,11341,Makoto Shinkai,"Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita, Aoi Yuki, Nobunaga Shimazaki",,358000000.0
31,A Dog's Will,"Comedy, Drama, Fantasy",pt,8.4,1,44,2000-09-15,1093,Guel Arraes,"Matheus Nachtergaele, Selton Mello, Rogério Cardoso, Denise Fraga, Diogo Vilela",,4903192.0
42,A Silent Voice: The Movie,"Animation, Drama",ja,8.4,2,9,2016-09-17,3938,Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yuki, Kensho Ono, Yuki Kaneko",,30504476.0
48,The Legend of Hei,"Animation, Fantasy, Action",zh,8.4,1,42,2019-08-27,364,MTJJ,"Shan Xin, Liu Mingyue, Hao Xianghai, Ding Dang, Yuntu Cao",,48045728.0
57,The Quintessential Quintuplets Movie,"Animation, Comedy, Romance",ja,8.3,2,16,2022-05-20,382,Masato Jimbo,"Yoshitsugu Matsuoka, Kana Hanazawa, Ayana Taketatsu, Miku Ito, Ayane Sakura",,17288993.0
66,Dedicated to my ex,"Drama, Comedy",es,8.3,1,34,2019-11-01,501,Jorge Ulloa,"Raúl Santana, Nataly Valencia, Carlos Alcántara, Biassini Segura, Mariana Treviño",,1315376.0
69,Neon Genesis Evangelion: The End of Evangelion,"Animation, Science Fiction, Action, Drama",ja,8.3,1,27,1997-07-19,1590,Kazuya Tsurumaki,"Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi, Yuko Miyamura, Fumihiko Tachiki",,20563523.0
70,Ikiru,Drama,ja,8.3,2,23,1952-10-09,1126,Akira Kurosawa,"Takashi Shimura, Haruo Tanaka, Nobuo Kaneko, Bokuzen Hidari, Miki Odagiri",,55240.0
77,Violet Evergarden: The Movie,"Animation, Fantasy, Romance, Drama",ja,8.3,2,20,2020-09-18,404,Taichi Ishidate,"Yui Ishikawa, Daisuke Namikawa, Takehito Koyasu, Hidenobu Kiuchi, Haruka Tomatsu",,20339624.0
84,Le Trou,"Drama, Thriller, Crime",fr,8.3,2,12,1960-03-18,469,Jacques Becker,"Michel Constantin, Jean Keraudy, Philippe Leroy, Raymond Meunier, Marc Michel",,33187.0
91,Come and See,"Drama, War",ru,8.3,2,22,1985-10-17,1475,Elem Klimov,"Aleksei Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas, Jüri Lumiste",,20929648.0
99,Wolf Children,"Animation, Family, Drama, Fantasy",ja,8.2,1,57,2012-07-21,2275,Mamoru Hosoda,"Haru Kuroki, Yukito Nishii, Aoi Miyazaki, Takao Osawa, Momoka Ohno",,55060661.0
101,I Want to Eat Your Pancreas,"Animation, Drama, Romance",ja,8.2,1,48,2018-09-01,1539,Shinichiro Ushijima,"Mahiro Takasugi, Lynn, Yukiyo Fujii, Yuma Uchida, Jun Fukushima",,33748006.0
122,Maquia: When the Promised Flower Blooms,"Animation, Fantasy, Drama, Adventure",ja,8.2,1,55,2018-02-24,625,Mari Okada,"Manaka Iwami, Miyu Irino, Yuuki Sakurai, Ai Kayano, Yuki Kaji",,4345395.0
126,Violet Evergarden: Eternity and the Auto Memory Doll,"Drama, Fantasy, Animation",ja,8.2,1,31,2019-09-06,363,Taichi Ishidate,"Yui Ishikawa, Minako Kotobuki, Aoi Yuki, Koki Uchiyama, Takehito Koyasu",,10841702.0
127,Doctor Who: The Day of the Doctor,"Science Fiction, Adventure",en,8.2,1,17,2013-11-23,744,Nick Hurran,"Matt Smith, David Tennant, John Hurt, Jenna Coleman, Billie Piper",,10000000.0
140,Jujutsu Kaisen 0,"Animation, Action, Fantasy",ja,8.2,1,45,2021-12-24,1390,Sunghoo Park,"Megumi Ogata, Kana Hanazawa, Yuichi Nakamura, Takahiro Sakurai, Mikako Komatsu",,195870885.0
142,My Hero Academia: Heroes Rising,"Animation, Action, Fantasy, Adventure",ja,8.2,1,44,2019-12-20,1160,Kenji Nagasaki,"Daiki Yamashita, Nobuhiko Okamoto, Yoshio Inoue, Mio Imada, Yuka Terasaki",,30017163.0
146,Green Snake,"Animation, Fantasy, Action, Adventure",zh,8.2,2,11,2021-07-23,301,Amp Wong,"Tang Xiaoxi, Zhang Fuzheng, Wei Chao, Zhao Mingzhou, Zheng Xiaopu",,87212911.0
164,Innocent Voices,"Drama, War",es,8.1,2,0,2005-01-28,480,Luis Mandoki,"Carlos Padilla, Xuna Primus, Leonor Varela, José María Yázpik, Gustavo Muñoz",,837000.0
179,Better Days,"Drama, Romance, Thriller, Crime",zh,8.1,2,15,2019-10-25,439,Derek Tsang,"Zhou Dongyu, Jackson Yee, Yin Fang, Huang Jue, Wu Yue",,225879065.0
210,The Best of Youth,"Drama, History, Romance",it,8.1,6,7,2003-06-22,526,Marco Tullio Giordana,"Luigi Lo Cascio, Alessio Boni, Adriana Asti, Sonia Bergamasco, Fabrizio Gifuni",,2693053.0
214,La Dolce Vita,"Comedy, Drama",it,8.1,2,56,1960-02-05,1840,Federico Fellini,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée, Yvonne Furneaux, Magali Noël",,19647000.0
218,M,"Drama, Thriller, Crime",de,8.1,1,51,1931-05-11,2162,Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke, Theodor Loos",,35274.0
286,The Passion of Joan of Arc,"Drama, History",fr,8.0,1,22,1928-04-21,927,Carl Theodor Dreyer,"Maria Falconetti, Eugène Silvain, André Berley, Maurice Schutz, Antonin Artaud",,18121.0
291,Song of the Sea,"Family, Animation, Fantasy",en,8.0,1,33,2014-06-23,1415,Tomm Moore,"David Rawle, Lucy O'Connell, Brendan Gleeson, Fionnula Flanagan, Pat Shortt",,857522.0
299,Weathering with You,"Animation, Drama, Fantasy, Romance",ja,8.0,1,52,2019-06-19,2274,Makoto Shinkai,"Kotaro Daigo, Nana Mori, Tsubasa Honda, Sakura Kiryu, Sei Hiraizumi",,186965409.0
301,Andrei Rublev,"Drama, History",ru,8.0,3,5,1966-12-16,814,Andrei Tarkovsky,"Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolai Sergeyev, Irma Raush",,24173.0
315,Nights of Cabiria,Drama,it,8.0,1,50,1957-10-03,752,Federico Fellini,"Giulietta Masina, François Périer, Franca Marzi, Amedeo Nazzari, Aldo Silvani",,752045.0
322,Pather Panchali,Drama,bn,8.0,2,5,1955-08-26,414,Satyajit Ray,"Subir Banerjee, Uma Das Gupta, Karuna Banerjee, Kanu Bannerjee, Chunibala Devi",,536364.0
327,Forgotten,"Thriller, Mystery, Crime",ko,8.0,1,48,2017-11-29,1094,Jang Hang-jun,"Kang Ha-neul, Kim Moo-yul, Moon Sung-keun, Na Young-hee, Nam Myung-ryeol",,9968972.0
331,The Boy and the Beast,"Action, Adventure, Animation, Drama, Family, Fantasy",ja,8.0,1,59,2015-07-11,1458,Mamoru Hosoda,"Koji Yakusho, Aoi Miyazaki, Shota Sometani, Suzu Hirose, Lily Franky",,49714378.0
341,Suzume,"Animation, Drama, Adventure, Fantasy",ja,8.0,2,1,2022-11-11,1294,Makoto Shinkai,"Nanoka Hara, Hokuto Matsumura, Eri Fukatsu, Shota Sometani, Sairi Ito",,323638107.0
353,When Marnie Was There,"Animation, Drama, Family, Mystery",ja,8.0,1,43,2014-07-19,1775,Hiromasa Yonebayashi,"Sara Takatsuki, Kasumi Arimura, Nanako Matsushima, Susumu Terajima, Toshie Negishi",,34949567.0
354,The Way He Looks,"Drama, Romance",pt,8.0,1,36,2014-04-10,933,Daniel Ribeiro,"Ghilherme Lobo, Fábio Audi, Tess Amorim, Lúcia Romano, Eucir de Souza",,1207841.0
366,The Cure,"Drama, Family",en,7.9,1,37,1995-04-21,301,Peter Horton,"Joseph Mazzello, Brad Renfro, Annabella Sciorra, Diana Scarwid, Bruce Davison",,2568235.0
373,Where Hands Touch,"War, Drama, Romance",en,7.9,2,2,2018-09-14,511,Amma Asante,"Amandla Stenberg, George MacKay, Abbie Cornish, Christopher Eccleston, Tom Sweet",,128269.0
376,Army of Shadows,"War, History, Thriller",fr,7.9,2,25,1969-09-10,635,Jean-Pierre Melville,"Lino Ventura, Paul Meurisse, Jean-Pierre Cassel, Simone Signoret, Claude Mann",,906133.0
383,Throne of Blood,"Drama, History",ja,7.9,1,48,1957-01-15,840,Akira Kurosawa,"Toshirō Mifune, Isuzu Yamada, Takashi Shimura, Akira Kubo, Hiroshi Tachikawa",,13422.0
