id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
24,Impossible Things,"Family, Drama",es,8.4,1,28,2021-06-17,387,Ernesto Contreras,"Nora Velázquez, Benny Emmanuel, Luisa Huertas, Salvador Garcini, Andrés Delgado",,
30,Gabriel's Inferno,"Romance, Drama",en,8.4,2,2,2020-05-29,2410,Tosca Musk,"Melanie Zanetti, Giulio Berruti, Kurt McKinney, Agnes Albright, Margaux Brooke",,
32,Harakiri,"Action, Drama, History",ja,8.4,2,15,1962-09-15,990,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsuro Tamba, Masao Mishima",,
33,Primal: Tales of Savagery,"Action, Adventure, Animation, Drama",en,8.4,1,25,2019-11-21,315,Genndy Tartakovsky,"Aaron LaPlante, Jon Olson, Bryan Andrews, Darrick Bachman",,
37,Hope,Drama,ko,8.4,2,2,2013-10-02,729,Lee Joon-ik,"Sul Kyung-gu, Uhm Ji-won, Lee Re, Kim Sang-ho, Kim Hae-sook",,
39,Gabriel's Inferno: Part II,"Romance, Drama",en,8.4,1,45,2020-07-31,1513,Tosca Musk,"Melanie Zanetti, Giulio Berruti, James Andrew Fraser, Margaux Brooke, Agnes Albright",,
40,Dou kyu sei – Classmates,"Romance, Animation",ja,8.4,1,1,2016-02-20,382,Shoko Nakamura,"Kenji Nojima, Hiroshi Kamiya, Hideo Ishikawa, Yurino",,
41,Gabriel's Inferno: Part III,"Romance, Drama",en,8.4,1,45,2020-11-19,1053,Tosca Musk,"Melanie Zanetti, Giulio Berruti, Rhett Wellington Ramirez, James Andrew Fraser, Margaux Brooke",,
53,Taylor Swift: Reputation Stadium Tour,Music,en,8.3,2,5,2018-12-31,382,Paul Dugdale,"Taylor Swift, Charli xcx, Camila Cabello, David Cook, Amos Heller",,
58,A Brighter Summer Day,"Crime, Drama, Romance",zh,8.3,3,57,1991-07-27,314,Edward Yang,"Chang Chen, Lisa Yang, Kuo-Chu Chang, Elaine Jin, Chuan Wang",,
60,Once Upon a Studio,"Animation, Family, Fantasy, Comedy",en,8.3,0,9,2023-09-24,352,Trent Correy,"Chris Diamantopoulos, Kaitlyn Robrock, Tony Anselmo, Bill Farmer, Jim Cummings",,
62,Hotarubi no Mori e,"Romance, Animation, Fantasy",ja,8.3,0,45,2011-09-17,1101,Takahiro Omori,"Izumi Sawada, Hayato Taya, Ayane Sakura, Koki Uchiyama, Shinpachi Tsuji",,
